Iteration:0. Loss:1.6143298149108887
Iteration:100. Loss:1.5813865661621094
Iteration:200. Loss:1.5915974378585815
Iteration:300. Loss:1.5798698663711548
Iteration:400. Loss:1.577625036239624
Iteration:500. Loss:1.5780361890792847
Iteration:600. Loss:1.559473991394043
Iteration:700. Loss:1.5744202136993408
Iteration:800. Loss:1.572948932647705
Iteration:900. Loss:1.5755492448806763
Iteration:1000. Loss:1.5812830924987793
Iteration:1100. Loss:1.5670406818389893
Iteration:1200. Loss:1.5608351230621338
Iteration:1300. Loss:1.5620142221450806
Iteration:1400. Loss:1.5617622137069702
Iteration:1500. Loss:1.5518301725387573
Iteration:1600. Loss:1.5232912302017212
Iteration:1700. Loss:1.534595012664795
Iteration:1800. Loss:1.50764000415802
Iteration:1900. Loss:1.5069915056228638
Iteration:2000. Loss:1.4956915378570557
Iteration:2100. Loss:1.4742311239242554
Iteration:2200. Loss:1.4786089658737183
Iteration:2300. Loss:1.4489415884017944
Iteration:2400. Loss:1.4680413007736206
Iteration:2500. Loss:1.452816367149353
Iteration:2600. Loss:1.4490010738372803
Iteration:2700. Loss:1.4532697200775146
Iteration:2800. Loss:1.453931450843811
Iteration:2900. Loss:1.4590131044387817
Iteration:3000. Loss:1.4334479570388794
Iteration:3100. Loss:1.4128785133361816
Iteration:3200. Loss:1.457000732421875
Iteration:3300. Loss:1.4179401397705078
Iteration:3400. Loss:1.4289528131484985
Iteration:3500. Loss:1.4470417499542236
Iteration:3600. Loss:1.42622971534729
Iteration:3700. Loss:1.4279061555862427
Iteration:3800. Loss:1.4581778049468994
Iteration:3900. Loss:1.437145471572876
Iteration:4000. Loss:1.4346535205841064
Iteration:4100. Loss:1.440828800201416
Iteration:4200. Loss:1.430893898010254
Iteration:4300. Loss:1.4239405393600464
Iteration:4400. Loss:1.4390310049057007
Iteration:4500. Loss:1.4385730028152466
Iteration:4600. Loss:1.4433974027633667
Iteration:4700. Loss:1.4420371055603027
Iteration:4800. Loss:1.4447814226150513
Iteration:4900. Loss:1.420900583267212
Iteration:5000. Loss:1.4443753957748413
Iteration:5100. Loss:1.445553183555603
Iteration:5200. Loss:1.4463374614715576
Iteration:5300. Loss:1.431127905845642
Iteration:5400. Loss:1.4212714433670044
Iteration:5500. Loss:1.4379479885101318
Iteration:5600. Loss:1.425315022468567
Iteration:5700. Loss:1.3954501152038574
Iteration:5800. Loss:1.4020676612854004
Iteration:5900. Loss:1.44011390209198
Iteration:6000. Loss:1.4187835454940796
Iteration:6100. Loss:1.4406578540802002
Iteration:6200. Loss:1.4158170223236084
Iteration:6300. Loss:1.428360939025879
Iteration:6400. Loss:1.4083141088485718
Iteration:6500. Loss:1.405945897102356
Iteration:6600. Loss:1.4370125532150269
Iteration:6700. Loss:1.4401332139968872
Iteration:6800. Loss:1.414407730102539
Iteration:6900. Loss:1.4349405765533447
Iteration:7000. Loss:1.4208862781524658
Iteration:7100. Loss:1.417412519454956
Iteration:7200. Loss:1.403028964996338
Iteration:7300. Loss:1.4301073551177979
Iteration:7400. Loss:1.433800220489502
Iteration:7500. Loss:1.4445810317993164
Iteration:7600. Loss:1.4250612258911133
Iteration:7700. Loss:1.4177112579345703
Iteration:7800. Loss:1.4171596765518188
Iteration:7900. Loss:1.4175053834915161
Iteration:8000. Loss:1.414120078086853
Iteration:8100. Loss:1.4120604991912842
Iteration:8200. Loss:1.4320372343063354
Iteration:8300. Loss:1.43717622756958
Iteration:8400. Loss:1.439673662185669
Iteration:8500. Loss:1.4452866315841675
Iteration:8600. Loss:1.4341496229171753
Iteration:8700. Loss:1.4173303842544556
Iteration:8800. Loss:1.4335881471633911
Iteration:8900. Loss:1.4437936544418335
Iteration:9000. Loss:1.4543453454971313
Iteration:9100. Loss:1.426733136177063
Iteration:9200. Loss:1.4270440340042114
Iteration:9300. Loss:1.4213368892669678
Iteration:9400. Loss:1.4287621974945068
Iteration:9500. Loss:1.4212933778762817
Iteration:9600. Loss:1.4340542554855347
Iteration:9700. Loss:1.4384260177612305
Iteration:9800. Loss:1.437148928642273
Iteration:9900. Loss:1.434552788734436
