Iteration:0. Loss:1.6104822158813477
Iteration:100. Loss:1.5909738540649414
Iteration:200. Loss:1.581931471824646
Iteration:300. Loss:1.5964982509613037
Iteration:400. Loss:1.5693564414978027
Iteration:500. Loss:1.5860021114349365
Iteration:600. Loss:1.5747500658035278
Iteration:700. Loss:1.5742148160934448
Iteration:800. Loss:1.560727596282959
Iteration:900. Loss:1.558759331703186
Iteration:1000. Loss:1.5697115659713745
Iteration:1100. Loss:1.57782781124115
Iteration:1200. Loss:1.5649023056030273
Iteration:1300. Loss:1.576197862625122
Iteration:1400. Loss:1.5608890056610107
Iteration:1500. Loss:1.5467864274978638
Iteration:1600. Loss:1.5363869667053223
Iteration:1700. Loss:1.5200295448303223
Iteration:1800. Loss:1.4877865314483643
Iteration:1900. Loss:1.4882687330245972
Iteration:2000. Loss:1.4964346885681152
Iteration:2100. Loss:1.4930460453033447
Iteration:2200. Loss:1.488431453704834
Iteration:2300. Loss:1.4676463603973389
Iteration:2400. Loss:1.4659377336502075
Iteration:2500. Loss:1.4464136362075806
Iteration:2600. Loss:1.4560832977294922
Iteration:2700. Loss:1.460492491722107
Iteration:2800. Loss:1.4598239660263062
Iteration:2900. Loss:1.4439313411712646
Iteration:3000. Loss:1.4552570581436157
Iteration:3100. Loss:1.4350647926330566
Iteration:3200. Loss:1.4363763332366943
Iteration:3300. Loss:1.4577516317367554
Iteration:3400. Loss:1.4584410190582275
Iteration:3500. Loss:1.4601929187774658
Iteration:3600. Loss:1.4366161823272705
Iteration:3700. Loss:1.4517784118652344
Iteration:3800. Loss:1.4328148365020752
Iteration:3900. Loss:1.4497413635253906
