Iteration:0. Loss:1.609768271446228
Iteration:100. Loss:1.5925018787384033
Iteration:200. Loss:1.5803252458572388
Iteration:300. Loss:1.5763435363769531
Iteration:400. Loss:1.5713081359863281
Iteration:500. Loss:1.5724397897720337
Iteration:600. Loss:1.5772784948349
Iteration:700. Loss:1.5673563480377197
Iteration:800. Loss:1.5661866664886475
Iteration:900. Loss:1.5674470663070679
Iteration:1000. Loss:1.5536478757858276
Iteration:1100. Loss:1.5469582080841064
Iteration:1200. Loss:1.5234014987945557
Iteration:1300. Loss:1.4736546277999878
Iteration:1400. Loss:1.5009359121322632
Iteration:1500. Loss:1.4886213541030884
Iteration:1600. Loss:1.4842859506607056
Iteration:1700. Loss:1.4753954410552979
Iteration:1800. Loss:1.4779856204986572
Iteration:1900. Loss:1.4649076461791992
Iteration:2000. Loss:1.451112985610962
Iteration:2100. Loss:1.4628221988677979
Iteration:2200. Loss:1.4623417854309082
Iteration:2300. Loss:1.4617488384246826
Iteration:2400. Loss:1.456611156463623
Iteration:2500. Loss:1.4375849962234497
Iteration:2600. Loss:1.4353258609771729
Iteration:2700. Loss:1.4427251815795898
Iteration:2800. Loss:1.434100866317749
Iteration:2900. Loss:1.4547253847122192
Iteration:3000. Loss:1.4289270639419556
Iteration:3100. Loss:1.4379595518112183
Iteration:3200. Loss:1.4623806476593018
Iteration:3300. Loss:1.4396300315856934
