Iteration:0. Loss:1.6094361543655396
Iteration:100. Loss:1.6105352640151978
Iteration:200. Loss:1.6055904626846313
Iteration:300. Loss:1.6125562191009521
Iteration:400. Loss:1.6026930809020996
Iteration:500. Loss:1.6010606288909912
Iteration:600. Loss:1.5932426452636719
Iteration:700. Loss:1.5978505611419678
Iteration:800. Loss:1.585739016532898
Iteration:900. Loss:1.593674659729004
Iteration:1000. Loss:1.5890768766403198
Iteration:1100. Loss:1.5908076763153076
Iteration:1200. Loss:1.5883848667144775
Iteration:1300. Loss:1.5828050374984741
Iteration:1400. Loss:1.579352855682373
Iteration:1500. Loss:1.5936172008514404
Iteration:1600. Loss:1.5782475471496582
Iteration:1700. Loss:1.5966264009475708
Iteration:1800. Loss:1.5907961130142212
Iteration:1900. Loss:1.5819960832595825
Iteration:2000. Loss:1.5708554983139038
Iteration:2100. Loss:1.5865899324417114
Iteration:2200. Loss:1.5828731060028076
Iteration:2300. Loss:1.5835109949111938
Iteration:2400. Loss:1.5871999263763428
Iteration:2500. Loss:1.5825846195220947
Iteration:2600. Loss:1.5831819772720337
Iteration:2700. Loss:1.583705186843872
Iteration:2800. Loss:1.5816709995269775
Iteration:2900. Loss:1.5848394632339478
Iteration:3000. Loss:1.5772854089736938
Iteration:3100. Loss:1.5780560970306396
Iteration:3200. Loss:1.566648006439209
Iteration:3300. Loss:1.5812149047851562
Iteration:3400. Loss:1.5752640962600708
Iteration:3500. Loss:1.5730233192443848
Iteration:3600. Loss:1.5796194076538086
Iteration:3700. Loss:1.5686367750167847
