Iteration:0. Loss:1.6094361543655396
Iteration:100. Loss:1.5925718545913696
Iteration:200. Loss:1.5782749652862549
Iteration:300. Loss:1.5739984512329102
Iteration:400. Loss:1.5784963369369507
Iteration:500. Loss:1.5781816244125366
Iteration:600. Loss:1.581573486328125
Iteration:700. Loss:1.569665551185608
Iteration:800. Loss:1.5603487491607666
Iteration:900. Loss:1.545823097229004
Iteration:1000. Loss:1.5126017332077026
Iteration:1100. Loss:1.517210602760315
Iteration:1200. Loss:1.5131707191467285
Iteration:1300. Loss:1.4951506853103638
Iteration:1400. Loss:1.4862982034683228
Iteration:1500. Loss:1.4776387214660645
Iteration:1600. Loss:1.4584779739379883
Iteration:1700. Loss:1.4798121452331543
Iteration:1800. Loss:1.452005386352539
Iteration:1900. Loss:1.4657312631607056
Iteration:2000. Loss:1.4645254611968994
Iteration:2100. Loss:1.4826329946517944
Iteration:2200. Loss:1.4593161344528198
Iteration:2300. Loss:1.442908525466919
Iteration:2400. Loss:1.4551012516021729
Iteration:2500. Loss:1.4624255895614624
Iteration:2600. Loss:1.4513139724731445
Iteration:2700. Loss:1.4776240587234497
Iteration:2800. Loss:1.4559842348098755
Iteration:2900. Loss:1.4636948108673096
Iteration:3000. Loss:1.453295350074768
Iteration:3100. Loss:1.4606224298477173
Iteration:3200. Loss:1.4397728443145752
Iteration:3300. Loss:1.4490432739257812
