Iteration:0. Loss:1.6199474334716797
Iteration:100. Loss:1.5909693241119385
Iteration:200. Loss:1.5755195617675781
Iteration:300. Loss:1.5780963897705078
Iteration:400. Loss:1.5829753875732422
Iteration:500. Loss:1.5739392042160034
Iteration:600. Loss:1.5713399648666382
Iteration:700. Loss:1.5664948225021362
Iteration:800. Loss:1.5757356882095337
Iteration:900. Loss:1.5675994157791138
Iteration:1000. Loss:1.5758763551712036
Iteration:1100. Loss:1.5593547821044922
Iteration:1200. Loss:1.579453945159912
Iteration:1300. Loss:1.5687263011932373
Iteration:1400. Loss:1.5679759979248047
Iteration:1500. Loss:1.5581848621368408
Iteration:1600. Loss:1.5598554611206055
Iteration:1700. Loss:1.5573116540908813
Iteration:1800. Loss:1.5315556526184082
Iteration:1900. Loss:1.5141700506210327
Iteration:2000. Loss:1.4960896968841553
Iteration:2100. Loss:1.5008323192596436
Iteration:2200. Loss:1.4829554557800293
Iteration:2300. Loss:1.4804991483688354
Iteration:2400. Loss:1.4897452592849731
Iteration:2500. Loss:1.4761449098587036
Iteration:2600. Loss:1.4508285522460938
Iteration:2700. Loss:1.449566125869751
Iteration:2800. Loss:1.458282709121704
Iteration:2900. Loss:1.4592876434326172
Iteration:3000. Loss:1.4528443813323975
Iteration:3100. Loss:1.4502958059310913
Iteration:3200. Loss:1.4516350030899048
Iteration:3300. Loss:1.4569398164749146
