Iteration:0. Loss:1.614774227142334
Iteration:100. Loss:1.6019937992095947
Iteration:200. Loss:1.5815974473953247
Iteration:300. Loss:1.5691405534744263
Iteration:400. Loss:1.5829896926879883
Iteration:500. Loss:1.5751181840896606
Iteration:600. Loss:1.5674203634262085
Iteration:700. Loss:1.5636509656906128
Iteration:800. Loss:1.5584611892700195
Iteration:900. Loss:1.5512034893035889
Iteration:1000. Loss:1.5309123992919922
Iteration:1100. Loss:1.524648666381836
Iteration:1200. Loss:1.491167664527893
Iteration:1300. Loss:1.488023042678833
Iteration:1400. Loss:1.500616192817688
Iteration:1500. Loss:1.4916863441467285
Iteration:1600. Loss:1.4596062898635864
Iteration:1700. Loss:1.4760890007019043
Iteration:1800. Loss:1.447197675704956
Iteration:1900. Loss:1.4508519172668457
Iteration:2000. Loss:1.465093970298767
Iteration:2100. Loss:1.4704089164733887
Iteration:2200. Loss:1.4617362022399902
Iteration:2300. Loss:1.4516288042068481
Iteration:2400. Loss:1.4759129285812378
Iteration:2500. Loss:1.455438494682312
Iteration:2600. Loss:1.449991226196289
Iteration:2700. Loss:1.460716962814331
Iteration:2800. Loss:1.447158932685852
Iteration:2900. Loss:1.462085247039795
Iteration:3000. Loss:1.448696494102478
Iteration:3100. Loss:1.4497320652008057
Iteration:3200. Loss:1.4511348009109497
Iteration:3300. Loss:1.4540200233459473
Iteration:3400. Loss:1.4925405979156494
Iteration:3500. Loss:1.458991527557373
Iteration:3600. Loss:1.4555819034576416
Iteration:3700. Loss:1.469688892364502
Iteration:3800. Loss:1.4185106754302979
Iteration:3900. Loss:1.4457826614379883
Iteration:4000. Loss:1.46370267868042
Iteration:4100. Loss:1.4648784399032593
Iteration:4200. Loss:1.4500426054000854
Iteration:4300. Loss:1.4427686929702759
Iteration:4400. Loss:1.4604997634887695
Iteration:4500. Loss:1.4563716650009155
Iteration:4600. Loss:1.4541593790054321
Iteration:4700. Loss:1.4607160091400146
Iteration:4800. Loss:1.4623390436172485
Iteration:4900. Loss:1.436718225479126
Iteration:5000. Loss:1.4795392751693726
Iteration:5100. Loss:1.4367185831069946
Iteration:5200. Loss:1.4429669380187988
Iteration:5300. Loss:1.4588465690612793
Iteration:5400. Loss:1.4570281505584717
Iteration:5500. Loss:1.4490761756896973
Iteration:5600. Loss:1.4743202924728394
Iteration:5700. Loss:1.4737844467163086
Iteration:5800. Loss:1.4682270288467407
Iteration:5900. Loss:1.4503148794174194
Iteration:6000. Loss:1.4558912515640259
Iteration:6100. Loss:1.4581376314163208
Iteration:6200. Loss:1.4733082056045532
Iteration:6300. Loss:1.4635467529296875
Iteration:6400. Loss:1.4392855167388916
Iteration:6500. Loss:1.4489175081253052
Iteration:6600. Loss:1.468002438545227
Iteration:6700. Loss:1.4500120878219604
Iteration:6800. Loss:1.4472596645355225
Iteration:6900. Loss:1.475724458694458
Iteration:7000. Loss:1.4647706747055054
Iteration:7100. Loss:1.4436829090118408
Iteration:7200. Loss:1.461220383644104
Iteration:7300. Loss:1.479665994644165
Iteration:7400. Loss:1.4541550874710083
Iteration:7500. Loss:1.4492533206939697
Iteration:7600. Loss:1.4699146747589111
Iteration:7700. Loss:1.4405663013458252
Iteration:7800. Loss:1.464840292930603
Iteration:7900. Loss:1.455196499824524
Iteration:8000. Loss:1.4611790180206299
Iteration:8100. Loss:1.468981146812439
Iteration:8200. Loss:1.4650866985321045
Iteration:8300. Loss:1.44693124294281
Iteration:8400. Loss:1.4508987665176392
Iteration:8500. Loss:1.4289555549621582
Iteration:8600. Loss:1.4665062427520752
Iteration:8700. Loss:1.4624589681625366
Iteration:8800. Loss:1.4725914001464844
Iteration:8900. Loss:1.440861463546753
Iteration:9000. Loss:1.4469321966171265
Iteration:9100. Loss:1.4410594701766968
Iteration:9200. Loss:1.4406752586364746
Iteration:9300. Loss:1.4554376602172852
Iteration:9400. Loss:1.4451427459716797
Iteration:9500. Loss:1.4666944742202759
Iteration:9600. Loss:1.4406261444091797
Iteration:9700. Loss:1.4670748710632324
Iteration:9800. Loss:1.4401113986968994
Iteration:9900. Loss:1.4524964094161987
Iteration:10000. Loss:1.4508706331253052
Checkpoint saved at step 10000 -> runs/run_uniform.pt/checkpoint_10000.pth
Iteration:10100. Loss:1.4625518321990967
Iteration:10200. Loss:1.4580122232437134
Iteration:10300. Loss:1.4352184534072876
Iteration:10400. Loss:1.4610685110092163
Iteration:10500. Loss:1.4567028284072876
Iteration:10600. Loss:1.4557384252548218
Iteration:10700. Loss:1.4583752155303955
Iteration:10800. Loss:1.458839774131775
Iteration:10900. Loss:1.4401386976242065
Iteration:11000. Loss:1.4463187456130981
Iteration:11100. Loss:1.4218707084655762
Iteration:11200. Loss:1.4795162677764893
Iteration:11300. Loss:1.4474480152130127
Iteration:11400. Loss:1.4397854804992676
Iteration:11500. Loss:1.4430115222930908
Iteration:11600. Loss:1.4336646795272827
Iteration:11700. Loss:1.4479644298553467
Iteration:11800. Loss:1.4292532205581665
Iteration:11900. Loss:1.4513946771621704
Iteration:12000. Loss:1.4601340293884277
Iteration:12100. Loss:1.4629952907562256
Iteration:12200. Loss:1.4453463554382324
Iteration:12300. Loss:1.4725914001464844
Iteration:12400. Loss:1.4576009511947632
Iteration:12500. Loss:1.4531885385513306
Iteration:12600. Loss:1.4504873752593994
Iteration:12700. Loss:1.4312334060668945
Iteration:12800. Loss:1.456931471824646
Iteration:12900. Loss:1.4496968984603882
Iteration:13000. Loss:1.4464298486709595
Iteration:13100. Loss:1.46221923828125
Iteration:13200. Loss:1.441778540611267
Iteration:13300. Loss:1.4495455026626587
Iteration:13400. Loss:1.451117753982544
Iteration:13500. Loss:1.465762734413147
Iteration:13600. Loss:1.448272466659546
Iteration:13700. Loss:1.4316740036010742
Iteration:13800. Loss:1.4431878328323364
Iteration:13900. Loss:1.445745587348938
Iteration:14000. Loss:1.4392420053482056
Iteration:14100. Loss:1.4525911808013916
Iteration:14200. Loss:1.4498530626296997
Iteration:14300. Loss:1.461227536201477
Iteration:14400. Loss:1.4618291854858398
Iteration:14500. Loss:1.4337087869644165
Iteration:14600. Loss:1.4622567892074585
Iteration:14700. Loss:1.4410003423690796
Iteration:14800. Loss:1.459192156791687
Iteration:14900. Loss:1.427000880241394
Iteration:15000. Loss:1.4446743726730347
Iteration:15100. Loss:1.4518156051635742
Iteration:15200. Loss:1.4530816078186035
Iteration:15300. Loss:1.4312207698822021
Iteration:15400. Loss:1.4612751007080078
Iteration:15500. Loss:1.4438297748565674
Iteration:15600. Loss:1.442882776260376
Iteration:15700. Loss:1.4509549140930176
Iteration:15800. Loss:1.4585386514663696
Iteration:15900. Loss:1.4372879266738892
Iteration:16000. Loss:1.450160026550293
Iteration:16100. Loss:1.4394935369491577
Iteration:16200. Loss:1.4295721054077148
Iteration:16300. Loss:1.4612621068954468
Iteration:16400. Loss:1.4701969623565674
Iteration:16500. Loss:1.4505484104156494
Iteration:16600. Loss:1.4527406692504883
