Iteration:0. Loss:1.6094458103179932
Iteration:100. Loss:1.5985270738601685
Iteration:200. Loss:1.576399803161621
Iteration:300. Loss:1.5766699314117432
Iteration:400. Loss:1.5683367252349854
Iteration:500. Loss:1.5663961172103882
Iteration:600. Loss:1.5726706981658936
Iteration:700. Loss:1.5751824378967285
Iteration:800. Loss:1.5511764287948608
Iteration:900. Loss:1.5271698236465454
Iteration:1000. Loss:1.500162959098816
Iteration:1100. Loss:1.4951636791229248
Iteration:1200. Loss:1.4882627725601196
Iteration:1300. Loss:1.4779305458068848
Iteration:1400. Loss:1.4692389965057373
Iteration:1500. Loss:1.471360206604004
Iteration:1600. Loss:1.47161066532135
Iteration:1700. Loss:1.4534155130386353
Iteration:1800. Loss:1.4753491878509521
Iteration:1900. Loss:1.4477287530899048
Iteration:2000. Loss:1.462772011756897
Iteration:2100. Loss:1.4623284339904785
Iteration:2200. Loss:1.4757163524627686
Iteration:2300. Loss:1.468742847442627
Iteration:2400. Loss:1.4617547988891602
Iteration:2500. Loss:1.439270257949829
Iteration:2600. Loss:1.4585635662078857
Iteration:2700. Loss:1.4607763290405273
Iteration:2800. Loss:1.4614698886871338
Iteration:2900. Loss:1.4558234214782715
Iteration:3000. Loss:1.4809974431991577
Iteration:3100. Loss:1.4592033624649048
Iteration:3200. Loss:1.4607199430465698
Iteration:3300. Loss:1.446142554283142
Iteration:3400. Loss:1.4505170583724976
Iteration:3500. Loss:1.4549793004989624
Iteration:3600. Loss:1.4518758058547974
Iteration:3700. Loss:1.4591437578201294
Iteration:3800. Loss:1.4370062351226807
Iteration:3900. Loss:1.4632625579833984
Iteration:4000. Loss:1.457511305809021
Iteration:4100. Loss:1.4529030323028564
Iteration:4200. Loss:1.4515019655227661
Iteration:4300. Loss:1.4459328651428223
Iteration:4400. Loss:1.4541858434677124
Iteration:4500. Loss:1.4464613199234009
Iteration:4600. Loss:1.4409184455871582
Iteration:4700. Loss:1.439709186553955
Iteration:4800. Loss:1.4592208862304688
Iteration:4900. Loss:1.4455351829528809
Iteration:5000. Loss:1.4552717208862305
Iteration:5100. Loss:1.454868197441101
Iteration:5200. Loss:1.4569655656814575
Iteration:5300. Loss:1.4572356939315796
Iteration:5400. Loss:1.4642068147659302
Iteration:5500. Loss:1.4507453441619873
Iteration:5600. Loss:1.4383541345596313
Iteration:5700. Loss:1.4421850442886353
Iteration:5800. Loss:1.4844940900802612
Iteration:5900. Loss:1.4479176998138428
Iteration:6000. Loss:1.4561418294906616
Iteration:6100. Loss:1.4407867193222046
Iteration:6200. Loss:1.472327709197998
Iteration:6300. Loss:1.4456671476364136
Iteration:6400. Loss:1.4576771259307861
Iteration:6500. Loss:1.457041621208191
Iteration:6600. Loss:1.454374074935913
Iteration:6700. Loss:1.445038080215454
Iteration:6800. Loss:1.442229151725769
Iteration:6900. Loss:1.4630154371261597
Iteration:7000. Loss:1.4526870250701904
Iteration:7100. Loss:1.4744551181793213
Iteration:7200. Loss:1.4584888219833374
Iteration:7300. Loss:1.4575293064117432
Iteration:7400. Loss:1.4539151191711426
Iteration:7500. Loss:1.4515150785446167
Iteration:7600. Loss:1.4586482048034668
Iteration:7700. Loss:1.4456660747528076
Iteration:7800. Loss:1.4633668661117554
Iteration:7900. Loss:1.449698805809021
Iteration:8000. Loss:1.4656689167022705
Iteration:8100. Loss:1.463282823562622
Iteration:8200. Loss:1.453717589378357
Iteration:8300. Loss:1.438209056854248
Iteration:8400. Loss:1.4665536880493164
Iteration:8500. Loss:1.4302250146865845
Iteration:8600. Loss:1.423143744468689
Iteration:8700. Loss:1.4619282484054565
Iteration:8800. Loss:1.4522916078567505
Iteration:8900. Loss:1.4311165809631348
Iteration:9000. Loss:1.4308933019638062
Iteration:9100. Loss:1.4341018199920654
Iteration:9200. Loss:1.448482632637024
Iteration:9300. Loss:1.442199468612671
Iteration:9400. Loss:1.4101921319961548
Iteration:9500. Loss:1.4509060382843018
Iteration:9600. Loss:1.4583250284194946
Iteration:9700. Loss:1.4708659648895264
Iteration:9800. Loss:1.4543689489364624
Iteration:9900. Loss:1.4273674488067627
Iteration:10000. Loss:1.452996850013733
Checkpoint saved at step 10000 -> runs/run_normal.pt/checkpoint_10000.pth
Iteration:10100. Loss:1.4489480257034302
Iteration:10200. Loss:1.4595588445663452
Iteration:10300. Loss:1.447211503982544
Iteration:10400. Loss:1.4364964962005615
Iteration:10500. Loss:1.4282041788101196
Iteration:10600. Loss:1.4728909730911255
Iteration:10700. Loss:1.4655133485794067
Iteration:10800. Loss:1.4524149894714355
Iteration:10900. Loss:1.4413526058197021
Iteration:11000. Loss:1.437939167022705
Iteration:11100. Loss:1.4582537412643433
Iteration:11200. Loss:1.4419702291488647
Iteration:11300. Loss:1.4408546686172485
Iteration:11400. Loss:1.4435614347457886
Iteration:11500. Loss:1.446014165878296
Iteration:11600. Loss:1.437106966972351
Iteration:11700. Loss:1.4583698511123657
Iteration:11800. Loss:1.4605462551116943
Iteration:11900. Loss:1.4660916328430176
Iteration:12000. Loss:1.4705679416656494
Iteration:12100. Loss:1.4432706832885742
Iteration:12200. Loss:1.460545539855957
Iteration:12300. Loss:1.4561649560928345
Iteration:12400. Loss:1.4290441274642944
Iteration:12500. Loss:1.449347734451294
Iteration:12600. Loss:1.4450830221176147
Iteration:12700. Loss:1.462838053703308
Iteration:12800. Loss:1.4574576616287231
Iteration:12900. Loss:1.472618579864502
Iteration:13000. Loss:1.472747802734375
Iteration:13100. Loss:1.4502394199371338
Iteration:13200. Loss:1.4678115844726562
Iteration:13300. Loss:1.4696069955825806
Iteration:13400. Loss:1.4536455869674683
Iteration:13500. Loss:1.4658912420272827
Iteration:13600. Loss:1.4383056163787842
Iteration:13700. Loss:1.4430139064788818
Iteration:13800. Loss:1.4471347332000732
Iteration:13900. Loss:1.4562819004058838
Iteration:14000. Loss:1.455976963043213
Iteration:14100. Loss:1.465481162071228
Iteration:14200. Loss:1.4517695903778076
Iteration:14300. Loss:1.4213900566101074
Iteration:14400. Loss:1.4490869045257568
Iteration:14500. Loss:1.4343695640563965
Iteration:14600. Loss:1.4387751817703247
Iteration:14700. Loss:1.439673662185669
Iteration:14800. Loss:1.4376797676086426
Iteration:14900. Loss:1.4546931982040405
Iteration:15000. Loss:1.4516977071762085
Iteration:15100. Loss:1.4453786611557007
Iteration:15200. Loss:1.437010407447815
Iteration:15300. Loss:1.4417719841003418
Iteration:15400. Loss:1.4233999252319336
Iteration:15500. Loss:1.425466775894165
Iteration:15600. Loss:1.461803913116455
Iteration:15700. Loss:1.4620360136032104
Iteration:15800. Loss:1.4539153575897217
Iteration:15900. Loss:1.4412198066711426
Iteration:16000. Loss:1.4290978908538818
Iteration:16100. Loss:1.4541785717010498
Iteration:16200. Loss:1.4549119472503662
Iteration:16300. Loss:1.4576472043991089
Iteration:16400. Loss:1.4606096744537354
Iteration:16500. Loss:1.4509001970291138
Iteration:16600. Loss:1.4426162242889404
Iteration:16700. Loss:1.465510606765747
Iteration:16800. Loss:1.4561958312988281
Iteration:16900. Loss:1.4663296937942505
Iteration:17000. Loss:1.4601736068725586
Iteration:17100. Loss:1.440331220626831
Iteration:17200. Loss:1.4460482597351074
Iteration:17300. Loss:1.4303512573242188
Iteration:17400. Loss:1.4629038572311401
Iteration:17500. Loss:1.4441466331481934
Iteration:17600. Loss:1.4626827239990234
Iteration:17700. Loss:1.4716541767120361
Iteration:17800. Loss:1.4534832239151
Iteration:17900. Loss:1.4455974102020264
Iteration:18000. Loss:1.4551680088043213
Iteration:18100. Loss:1.4601726531982422
Iteration:18200. Loss:1.4309433698654175
Iteration:18300. Loss:1.45283043384552
Iteration:18400. Loss:1.4448070526123047
Iteration:18500. Loss:1.4211784601211548
Iteration:18600. Loss:1.4567989110946655
Iteration:18700. Loss:1.4530737400054932
Iteration:18800. Loss:1.4467155933380127
Iteration:18900. Loss:1.4383814334869385
Iteration:19000. Loss:1.4684606790542603
Iteration:19100. Loss:1.4503875970840454
Iteration:19200. Loss:1.4515888690948486
Iteration:19300. Loss:1.454083800315857
Iteration:19400. Loss:1.462340235710144
Iteration:19500. Loss:1.473863124847412
Iteration:19600. Loss:1.4639003276824951
Iteration:19700. Loss:1.4605895280838013
Iteration:19800. Loss:1.4519028663635254
Iteration:19900. Loss:1.4482436180114746
Iteration:20000. Loss:1.4434961080551147
Checkpoint saved at step 20000 -> runs/run_normal.pt/checkpoint_20000.pth
Iteration:20100. Loss:1.4574090242385864
Iteration:20200. Loss:1.4841716289520264
Iteration:20300. Loss:1.4556663036346436
Iteration:20400. Loss:1.4602642059326172
Iteration:20500. Loss:1.4531151056289673
Iteration:20600. Loss:1.4467451572418213
Iteration:20700. Loss:1.4538519382476807
Iteration:20800. Loss:1.4580674171447754
Iteration:20900. Loss:1.4616228342056274
Iteration:21000. Loss:1.4663511514663696
Iteration:21100. Loss:1.4441099166870117
Iteration:21200. Loss:1.4491357803344727
Iteration:21300. Loss:1.4391915798187256
Iteration:21400. Loss:1.4313912391662598
Iteration:21500. Loss:1.4559299945831299
Iteration:21600. Loss:1.447519063949585
Iteration:21700. Loss:1.4175790548324585
Iteration:21800. Loss:1.4572049379348755
Iteration:21900. Loss:1.4621974229812622
Iteration:22000. Loss:1.466109037399292
Iteration:22100. Loss:1.4310888051986694
Iteration:22200. Loss:1.4376351833343506
Iteration:22300. Loss:1.4312613010406494
