Iteration:0. Loss:1.6094361543655396
Iteration:100. Loss:1.6078912019729614
Iteration:200. Loss:1.6072748899459839
Iteration:300. Loss:1.6040574312210083
Iteration:400. Loss:1.6001254320144653
Iteration:500. Loss:1.5977970361709595
Iteration:600. Loss:1.600005030632019
Iteration:700. Loss:1.5954819917678833
Iteration:800. Loss:1.594955563545227
Iteration:900. Loss:1.6010658740997314
Iteration:1000. Loss:1.592822551727295
Iteration:1100. Loss:1.5907286405563354
Iteration:1200. Loss:1.581555962562561
Iteration:1300. Loss:1.5833313465118408
Iteration:1400. Loss:1.5867631435394287
Iteration:1500. Loss:1.5863879919052124
Iteration:1600. Loss:1.5831823348999023
Iteration:1700. Loss:1.585609793663025
Iteration:1800. Loss:1.5806751251220703
Iteration:1900. Loss:1.579897403717041
Iteration:2000. Loss:1.5932618379592896
Iteration:2100. Loss:1.584744930267334
Iteration:2200. Loss:1.593069076538086
Iteration:2300. Loss:1.5995913743972778
Iteration:2400. Loss:1.5831685066223145
Iteration:2500. Loss:1.589858055114746
Iteration:2600. Loss:1.585434079170227
Iteration:2700. Loss:1.5865380764007568
Iteration:2800. Loss:1.5844018459320068
Iteration:2900. Loss:1.5889912843704224
Iteration:3000. Loss:1.5746710300445557
Iteration:3100. Loss:1.5889426469802856
Iteration:3200. Loss:1.5901933908462524
Iteration:3300. Loss:1.5766801834106445
Iteration:3400. Loss:1.5868091583251953
Iteration:3500. Loss:1.570092797279358
Iteration:3600. Loss:1.5821311473846436
Iteration:3700. Loss:1.5766088962554932
Iteration:3800. Loss:1.5786335468292236
Iteration:3900. Loss:1.576748013496399
Iteration:4000. Loss:1.5801364183425903
Iteration:4100. Loss:1.584505558013916
Iteration:4200. Loss:1.5701888799667358
Iteration:4300. Loss:1.573773980140686
Iteration:4400. Loss:1.578783631324768
Iteration:4500. Loss:1.5718475580215454
Iteration:4600. Loss:1.5799816846847534
Iteration:4700. Loss:1.57316255569458
Iteration:4800. Loss:1.5811564922332764
Iteration:4900. Loss:1.575767159461975
Iteration:5000. Loss:1.5698742866516113
Iteration:5100. Loss:1.5837619304656982
Iteration:5200. Loss:1.5702723264694214
Iteration:5300. Loss:1.5824549198150635
Iteration:5400. Loss:1.582598090171814
Iteration:5500. Loss:1.5863596200942993
