Iteration:0. Loss:1.6094361543655396
Iteration:100. Loss:1.5997841358184814
Iteration:200. Loss:1.5788044929504395
Iteration:300. Loss:1.5872515439987183
Iteration:400. Loss:1.565020203590393
Iteration:500. Loss:1.5712103843688965
Iteration:600. Loss:1.5629746913909912
Iteration:700. Loss:1.5580604076385498
Iteration:800. Loss:1.5617305040359497
Iteration:900. Loss:1.5351691246032715
Iteration:1000. Loss:1.5119746923446655
Iteration:1100. Loss:1.4852279424667358
Iteration:1200. Loss:1.4897528886795044
Iteration:1300. Loss:1.4875317811965942
Iteration:1400. Loss:1.4689080715179443
Iteration:1500. Loss:1.4670089483261108
Iteration:1600. Loss:1.4426319599151611
Iteration:1700. Loss:1.446474552154541
Iteration:1800. Loss:1.4676729440689087
Iteration:1900. Loss:1.4514232873916626
Iteration:2000. Loss:1.4684494733810425
Iteration:2100. Loss:1.4514689445495605
Iteration:2200. Loss:1.4808859825134277
Iteration:2300. Loss:1.4513694047927856
Iteration:2400. Loss:1.4539529085159302
Iteration:2500. Loss:1.4603922367095947
Iteration:2600. Loss:1.4742027521133423
Iteration:2700. Loss:1.4591742753982544
Iteration:2800. Loss:1.4656891822814941
Iteration:2900. Loss:1.4753535985946655
Iteration:3000. Loss:1.465016484260559
Iteration:3100. Loss:1.4654412269592285
Iteration:3200. Loss:1.4426195621490479
Iteration:3300. Loss:1.4532843828201294
Iteration:3400. Loss:1.4651304483413696
Iteration:3500. Loss:1.4449785947799683
Iteration:3600. Loss:1.4496383666992188
Iteration:3700. Loss:1.4769467115402222
Iteration:3800. Loss:1.4409345388412476
Iteration:3900. Loss:1.4522477388381958
Iteration:4000. Loss:1.4501936435699463
Iteration:4100. Loss:1.4628636837005615
Iteration:4200. Loss:1.4514217376708984
Iteration:4300. Loss:1.4324371814727783
Iteration:4400. Loss:1.4519619941711426
Iteration:4500. Loss:1.4518394470214844
Iteration:4600. Loss:1.416285514831543
Iteration:4700. Loss:1.4626210927963257
Iteration:4800. Loss:1.4465174674987793
Iteration:4900. Loss:1.4504033327102661
Iteration:5000. Loss:1.4405800104141235
Iteration:5100. Loss:1.4626847505569458
Iteration:5200. Loss:1.457973837852478
Iteration:5300. Loss:1.4485790729522705
Iteration:5400. Loss:1.4692906141281128
Iteration:5500. Loss:1.471159815788269
Iteration:5600. Loss:1.4484312534332275
Iteration:5700. Loss:1.4519988298416138
Iteration:5800. Loss:1.4397579431533813
Iteration:5900. Loss:1.4330919981002808
Iteration:6000. Loss:1.457741618156433
Iteration:6100. Loss:1.446683645248413
Iteration:6200. Loss:1.4596056938171387
Iteration:6300. Loss:1.4446303844451904
Iteration:6400. Loss:1.439879059791565
Iteration:6500. Loss:1.4632693529129028
Iteration:6600. Loss:1.4427127838134766
Iteration:6700. Loss:1.451708197593689
Iteration:6800. Loss:1.464986801147461
Iteration:6900. Loss:1.460882544517517
Iteration:7000. Loss:1.445934772491455
Iteration:7100. Loss:1.4578391313552856
Iteration:7200. Loss:1.4274765253067017
Iteration:7300. Loss:1.458956241607666
Iteration:7400. Loss:1.4367663860321045
Iteration:7500. Loss:1.452378511428833
Iteration:7600. Loss:1.4228436946868896
Iteration:7700. Loss:1.4439698457717896
Iteration:7800. Loss:1.4621237516403198
Iteration:7900. Loss:1.4565775394439697
Iteration:8000. Loss:1.4427820444107056
Iteration:8100. Loss:1.4645596742630005
Iteration:8200. Loss:1.4386323690414429
Iteration:8300. Loss:1.452775478363037
Iteration:8400. Loss:1.475254774093628
Iteration:8500. Loss:1.4696438312530518
Iteration:8600. Loss:1.440087914466858
Iteration:8700. Loss:1.4550584554672241
Iteration:8800. Loss:1.4344478845596313
