Iteration:0. Loss:1.6153631210327148
Iteration:100. Loss:1.5960826873779297
Iteration:200. Loss:1.5850133895874023
Iteration:300. Loss:1.5815380811691284
Iteration:400. Loss:1.5784807205200195
Iteration:500. Loss:1.5825978517532349
Iteration:600. Loss:1.5734264850616455
Iteration:700. Loss:1.5753684043884277
Iteration:800. Loss:1.5514408349990845
Iteration:900. Loss:1.5741407871246338
Iteration:1000. Loss:1.547827124595642
Iteration:1100. Loss:1.5482138395309448
Iteration:1200. Loss:1.5211910009384155
Iteration:1300. Loss:1.5237252712249756
Iteration:1400. Loss:1.4905688762664795
Iteration:1500. Loss:1.5102835893630981
Iteration:1600. Loss:1.4891998767852783
Iteration:1700. Loss:1.495557188987732
Iteration:1800. Loss:1.4787887334823608
Iteration:1900. Loss:1.4538357257843018
Iteration:2000. Loss:1.472464680671692
Iteration:2100. Loss:1.4916807413101196
Iteration:2200. Loss:1.4715129137039185
Iteration:2300. Loss:1.469498634338379
Iteration:2400. Loss:1.4814906120300293
Iteration:2500. Loss:1.4567087888717651
Iteration:2600. Loss:1.455119013786316
Iteration:2700. Loss:1.4704838991165161
Iteration:2800. Loss:1.4594837427139282
Iteration:2900. Loss:1.4547995328903198
Iteration:3000. Loss:1.4573761224746704
Iteration:3100. Loss:1.4459725618362427
Iteration:3200. Loss:1.4649213552474976
Iteration:3300. Loss:1.4226270914077759
Iteration:3400. Loss:1.4658300876617432
Iteration:3500. Loss:1.474669098854065
Iteration:3600. Loss:1.4508161544799805
Iteration:3700. Loss:1.4315199851989746
Iteration:3800. Loss:1.4704301357269287
Iteration:3900. Loss:1.4445897340774536
Iteration:4000. Loss:1.4600601196289062
Iteration:4100. Loss:1.4521026611328125
Iteration:4200. Loss:1.4225112199783325
Iteration:4300. Loss:1.4592243432998657
Iteration:4400. Loss:1.4454671144485474
Iteration:4500. Loss:1.4499269723892212
Iteration:4600. Loss:1.4492735862731934
Iteration:4700. Loss:1.4562712907791138
Iteration:4800. Loss:1.4507219791412354
Iteration:4900. Loss:1.4597153663635254
Iteration:5000. Loss:1.4428901672363281
Iteration:5100. Loss:1.4311507940292358
Iteration:5200. Loss:1.4767179489135742
Iteration:5300. Loss:1.4699344635009766
Iteration:5400. Loss:1.4538599252700806
Iteration:5500. Loss:1.4501878023147583
Iteration:5600. Loss:1.4719178676605225
Iteration:5700. Loss:1.435784935951233
Iteration:5800. Loss:1.4425573348999023
Iteration:5900. Loss:1.4356813430786133
Iteration:6000. Loss:1.456426978111267
Iteration:6100. Loss:1.4338304996490479
Iteration:6200. Loss:1.4556277990341187
Iteration:6300. Loss:1.4626296758651733
Iteration:6400. Loss:1.4569904804229736
Iteration:6500. Loss:1.4460887908935547
Iteration:6600. Loss:1.4322420358657837
Iteration:6700. Loss:1.447878360748291
Iteration:6800. Loss:1.4585981369018555
Iteration:6900. Loss:1.4844228029251099
Iteration:7000. Loss:1.4551334381103516
Iteration:7100. Loss:1.4641289710998535
Iteration:7200. Loss:1.4655286073684692
Iteration:7300. Loss:1.4646978378295898
Iteration:7400. Loss:1.4668610095977783
Iteration:7500. Loss:1.4416050910949707
Iteration:7600. Loss:1.4579579830169678
Iteration:7700. Loss:1.4451028108596802
Iteration:7800. Loss:1.4608906507492065
Iteration:7900. Loss:1.461803674697876
Iteration:8000. Loss:1.4319556951522827
Iteration:8100. Loss:1.4637877941131592
Iteration:8200. Loss:1.4550455808639526
Iteration:8300. Loss:1.4566032886505127
Iteration:8400. Loss:1.4469969272613525
Iteration:8500. Loss:1.4724361896514893
Iteration:8600. Loss:1.459053874015808
Iteration:8700. Loss:1.4568339586257935
Iteration:8800. Loss:1.4373730421066284
Iteration:8900. Loss:1.4589152336120605
Iteration:9000. Loss:1.4671530723571777
Iteration:9100. Loss:1.443652629852295
Iteration:9200. Loss:1.440063238143921
Iteration:9300. Loss:1.4522963762283325
Iteration:9400. Loss:1.4408284425735474
Iteration:9500. Loss:1.4728881120681763
Iteration:9600. Loss:1.4462467432022095
Iteration:9700. Loss:1.4582849740982056
Iteration:9800. Loss:1.4645435810089111
Iteration:9900. Loss:1.4477932453155518
Iteration:10000. Loss:1.4498474597930908
Checkpoint saved at step 10000 -> runs/run_default.pt/checkpoint_10000.pth
Iteration:10100. Loss:1.4446983337402344
Iteration:10200. Loss:1.4411916732788086
Iteration:10300. Loss:1.4564193487167358
Iteration:10400. Loss:1.4588873386383057
Iteration:10500. Loss:1.4383372068405151
Iteration:10600. Loss:1.4705519676208496
Iteration:10700. Loss:1.4491996765136719
Iteration:10800. Loss:1.4444091320037842
Iteration:10900. Loss:1.4505629539489746
Iteration:11000. Loss:1.4496220350265503
Iteration:11100. Loss:1.4501662254333496
Iteration:11200. Loss:1.4290812015533447
Iteration:11300. Loss:1.4400599002838135
Iteration:11400. Loss:1.4395816326141357
Iteration:11500. Loss:1.4335627555847168
Iteration:11600. Loss:1.4539761543273926
Iteration:11700. Loss:1.4531099796295166
Iteration:11800. Loss:1.4512628316879272
Iteration:11900. Loss:1.4597054719924927
Iteration:12000. Loss:1.4520970582962036
Iteration:12100. Loss:1.4376503229141235
Iteration:12200. Loss:1.4458177089691162
Iteration:12300. Loss:1.4435336589813232
Iteration:12400. Loss:1.4305343627929688
Iteration:12500. Loss:1.4464967250823975
Iteration:12600. Loss:1.4561638832092285
Iteration:12700. Loss:1.4506897926330566
Iteration:12800. Loss:1.435497760772705
Iteration:12900. Loss:1.4344637393951416
Iteration:13000. Loss:1.4635133743286133
Iteration:13100. Loss:1.4580371379852295
Iteration:13200. Loss:1.4574968814849854
Iteration:13300. Loss:1.4565521478652954
Iteration:13400. Loss:1.4558565616607666
Iteration:13500. Loss:1.4525195360183716
Iteration:13600. Loss:1.4563705921173096
Iteration:13700. Loss:1.4556211233139038
Iteration:13800. Loss:1.45998215675354
Iteration:13900. Loss:1.4704608917236328
Iteration:14000. Loss:1.458066463470459
Iteration:14100. Loss:1.4495303630828857
Iteration:14200. Loss:1.4645832777023315
Iteration:14300. Loss:1.4471083879470825
Iteration:14400. Loss:1.4495514631271362
Iteration:14500. Loss:1.46151864528656
Iteration:14600. Loss:1.440834641456604
Iteration:14700. Loss:1.443023681640625
Iteration:14800. Loss:1.4231101274490356
Iteration:14900. Loss:1.4526196718215942
Iteration:15000. Loss:1.4408743381500244
Iteration:15100. Loss:1.4576232433319092
Iteration:15200. Loss:1.4644325971603394
Iteration:15300. Loss:1.4582613706588745
Iteration:15400. Loss:1.4696475267410278
Iteration:15500. Loss:1.4436793327331543
Iteration:15600. Loss:1.4708614349365234
Iteration:15700. Loss:1.4540079832077026
Iteration:15800. Loss:1.446828842163086
Iteration:15900. Loss:1.4657421112060547
Iteration:16000. Loss:1.4500861167907715
Iteration:16100. Loss:1.4456051588058472
Iteration:16200. Loss:1.4606070518493652
Iteration:16300. Loss:1.449931025505066
Iteration:16400. Loss:1.4558830261230469
Iteration:16500. Loss:1.449175477027893
Iteration:16600. Loss:1.4596229791641235
Iteration:16700. Loss:1.4507384300231934
Iteration:16800. Loss:1.4418566226959229
Iteration:16900. Loss:1.4345840215682983
Iteration:17000. Loss:1.456318736076355
Iteration:17100. Loss:1.4481428861618042
Iteration:17200. Loss:1.471535563468933
Iteration:17300. Loss:1.4475568532943726
Iteration:17400. Loss:1.4651631116867065
Iteration:17500. Loss:1.4452025890350342
Iteration:17600. Loss:1.4556102752685547
Iteration:17700. Loss:1.4652403593063354
Iteration:17800. Loss:1.461119532585144
Iteration:17900. Loss:1.4424750804901123
Iteration:18000. Loss:1.4544733762741089
Iteration:18100. Loss:1.4557429552078247
Iteration:18200. Loss:1.455687403678894
Iteration:18300. Loss:1.4732600450515747
Iteration:18400. Loss:1.448667287826538
Iteration:18500. Loss:1.4596967697143555
Iteration:18600. Loss:1.4616248607635498
Iteration:18700. Loss:1.4496220350265503
Iteration:18800. Loss:1.4512683153152466
Iteration:18900. Loss:1.4193249940872192
Iteration:19000. Loss:1.4535564184188843
Iteration:19100. Loss:1.4514120817184448
Iteration:19200. Loss:1.4450567960739136
Iteration:19300. Loss:1.4665472507476807
Iteration:19400. Loss:1.446380615234375
Iteration:19500. Loss:1.4325517416000366
Iteration:19600. Loss:1.4333691596984863
Iteration:19700. Loss:1.4547338485717773
Iteration:19800. Loss:1.4494092464447021
Iteration:19900. Loss:1.4551305770874023
Iteration:20000. Loss:1.4585274457931519
Checkpoint saved at step 20000 -> runs/run_default.pt/checkpoint_20000.pth
Iteration:20100. Loss:1.4448126554489136
Iteration:20200. Loss:1.4587851762771606
Iteration:20300. Loss:1.4598426818847656
Iteration:20400. Loss:1.4546302556991577
Iteration:20500. Loss:1.458573579788208
Iteration:20600. Loss:1.455233097076416
Iteration:20700. Loss:1.4357279539108276
Iteration:20800. Loss:1.4579662084579468
Iteration:20900. Loss:1.4356369972229004
Iteration:21000. Loss:1.4556540250778198
Iteration:21100. Loss:1.436942219734192
Iteration:21200. Loss:1.447255253791809
Iteration:21300. Loss:1.4554626941680908
Iteration:21400. Loss:1.4615859985351562
Iteration:21500. Loss:1.4568068981170654
Iteration:21600. Loss:1.4495409727096558
Iteration:21700. Loss:1.4294096231460571
Iteration:21800. Loss:1.4549440145492554
